region_id,unit_id,fire_number,discovery_date,discovery_time,first_attack_date,first_attack_time,strategy_met_date,strategy_met_time,fire_out_date,fire_out_time,total_acres,statistical_cause,latitude,longitude
3,312,2011312018,4/25/2011,16:17,4/25/2011,16:17,4/25/2011,16:20,4/25/2011,16:48,0.1,5,45.87813342,-93.65503396
3,351,2011351016,4/25/2011,16:38,4/25/2011,16:49,4/25/2011,17:13,4/26/2011,8:00,0.01,5,45.44089111,-93.41636141
3,312,2011312019,4/25/2011,16:57,4/25/2011,17:18,4/25/2011,17:18,4/25/2011,17:30,0.01,5,45.73373598,-93.83694906
1,121,2011121008,4/25/2011,17:09,4/25/2011,17:20,4/25/2011,18:00,5/2/2011,8:00,80,7,48.68644896,-96.55912449
1,161,2011161004,4/25/2011,17:35,4/25/2011,17:42,4/25/2011,18:00,4/27/2011,16:30,1.2,4,46.88569795,-95.16516368
1,161,2011163006,4/25/2011,17:48,4/25/2011,17:55,4/25/2011,18:02,4/25/2011,18:15,0.2,7,47.02216565,-95.85155206
2,221,2011221004,4/25/2011,17:48,4/25/2011,17:54,4/25/2011,18:05,4/25/2011,18:30,0.1,7,47.22654313,-93.52071533
2,232,2011232010,4/25/2011,17:50,4/25/2011,17:55,4/25/2011,18:15,4/25/2011,18:30,1,7,46.33804857,-94.28386354
2,244,2011244017,4/25/2011,18:22,4/25/2011,18:25,4/25/2011,18:36,4/25/2011,18:36,0.1,5,46.12369642,-92.90006418
2,232,2011232009,4/25/2011,18:23,4/25/2011,19:04,4/25/2011,19:40,5/23/2011,8:00,10,7,46.78422769,-93.33489638
3,312,2011312017,4/25/2011,18:55,4/25/2011,19:10,4/25/2011,19:30,4/26/2011,8:00,0.5,5,45.94910963,-93.34770152
2,234,2011234008,4/25/2011,22:40,4/25/2011,22:45,4/25/2011,22:50,5/2/2011,8:00,0.1,7,47.41508926,-92.9231389
3,312,2011312020,4/26/2011,0:25,4/26/2011,0:40,4/26/2011,0:50,4/26/2011,0:55,2,7,45.84239372,-93.86577532
1,161,2011163004,4/26/2011,11:00,4/26/2011,12:00,4/26/2011,16:00,4/30/2011,8:00,196,7,47.1495717,-95.94637903
1,111,2011111017,4/26/2011,11:00,4/26/2011,12:00,4/26/2011,16:00,5/9/2011,9:30,578,7,47.1602917,-95.94631243
2,253,2011253001,4/26/2011,11:19,4/26/2011,11:34,4/26/2011,12:00,4/27/2011,11:00,3.5,9,47.1068061,-91.52057376
1,131,2011131005,4/26/2011,12:37,4/26/2011,12:54,4/26/2011,12:58,4/27/2011,15:00,1,7,48.88517913,-95.04458096
1,131,2011131006,4/26/2011,12:38,4/26/2011,12:55,4/26/2011,12:58,4/27/2011,15:00,1,7,48.88915407,-94.94111238
1,121,2011121009,4/26/2011,15:30,4/26/2011,16:45,4/26/2011,17:45,5/25/2011,10:00,12,7,48.28356224,-95.52189562
2,234,2011234007,4/26/2011,20:15,4/26/2011,20:20,4/26/2011,22:35,4/27/2011,8:00,0.1,7,47.49535627,-92.86095338
1,111,2011111015,4/26/2011,20:30,4/26/2011,20:40,4/26/2011,20:50,5/2/2011,8:00,4,7,47.26785991,-95.63429222
1,131,2011131004,4/26/2011,22:00,4/26/2011,22:30,4/26/2011,22:30,4/26/2011,23:00,1,5,48.7738024,-94.71531263
2,261,2011261003,4/26/2011,22:00,4/26/2011,22:30,4/26/2011,23:15,5/3/2011,17:00,4.4,7,48.22908297,-93.82207654
1,121,2011121010,4/27/2011,8:00,4/27/2011,8:20,4/27/2011,10:00,5/25/2011,10:00,135,7,48.27915403,-95.36571607
1,131,2011131007,4/27/2011,14:22,4/27/2011,14:38,4/27/2011,14:40,5/2/2011,8:47,0.5,5,48.80306369,-94.76445426
1,161,2011163007,4/27/2011,15:35,4/27/2011,15:39,4/27/2011,15:50,4/27/2011,16:50,1.5,5,46.08781748,-95.8453255
1,117,2011117002,4/28/2011,5:30,4/28/2011,6:00,4/28/2011,6:15,4/28/2011,6:30,1,7,48.35794098,-94.55674548
1,111,2011111020,4/28/2011,12:45,4/28/2011,13:00,4/28/2011,14:00,5/2/2011,8:00,170,7,47.39808128,-95.63912385
1,117,2011117001,4/28/2011,13:12,4/28/2011,13:30,4/28/2011,13:30,5/3/2011,16:58,0.1,5,47.72422092,-94.67933066
1,117,2011117003,4/28/2011,13:40,4/28/2011,13:58,4/28/2011,14:10,5/10/2011,8:00,0.1,5,47.85558959,-94.78836861
1,111,2011111018,4/28/2011,14:00,4/28/2011,14:10,4/28/2011,14:23,4/30/2011,8:00,1.5,2,47.47277898,-95.35816491
